# lon lat E[km] N[km] Dep[km] strike dip Area ID
144.062 38.977 1.000 1.000 8.070 194.000 3.000 841.000 81
143.738 39.043 1.000 1.000 9.710 194.000 4.000 841.000 82
143.415 39.108 1.000 1.000 12.340 194.000 6.000 841.000 83
143.093 39.172 1.000 1.000 16.350 194.000 10.000 841.000 84
142.774 39.234 1.000 1.000 22.070 194.000 13.000 841.000 85
142.459 39.294 1.000 1.000 29.690 194.000 17.000 841.000 86
142.151 39.353 1.000 1.000 39.250 194.000 21.000 841.000 87
141.850 39.409 1.000 1.000 50.710 194.000 25.000 841.000 88
141.559 39.462 1.000 1.000 63.940 194.000 29.000 841.000 89
143.977 38.724 1.000 1.000 8.070 194.000 3.000 841.000 90
143.654 38.790 1.000 1.000 9.710 194.000 4.000 841.000 91
143.332 38.855 1.000 1.000 12.340 194.000 6.000 841.000 92
143.011 38.918 1.000 1.000 16.350 194.000 10.000 841.000 93
142.693 38.980 1.000 1.000 22.070 194.000 13.000 841.000 94
142.379 39.040 1.000 1.000 29.690 194.000 17.000 841.000 95
142.072 39.099 1.000 1.000 39.250 194.000 21.000 841.000 96
141.773 39.154 1.000 1.000 50.710 194.000 25.000 841.000 97
141.482 39.208 1.000 1.000 63.940 194.000 29.000 841.000 98
143.892 38.471 1.000 1.000 8.070 194.000 3.000 841.000 99
143.571 38.537 1.000 1.000 9.710 194.000 4.000 841.000 100
143.250 38.601 1.000 1.000 12.340 194.000 6.000 841.000 101
142.930 38.665 1.000 1.000 16.350 194.000 10.000 841.000 102
142.613 38.727 1.000 1.000 22.070 194.000 13.000 841.000 103
142.300 38.787 1.000 1.000 29.690 194.000 17.000 841.000 104
141.994 38.845 1.000 1.000 39.250 194.000 21.000 841.000 105
141.695 38.900 1.000 1.000 50.710 194.000 25.000 841.000 106
141.406 38.953 1.000 1.000 63.940 194.000 29.000 841.000 107
143.808 38.218 1.000 1.000 8.070 194.000 3.000 841.000 108
143.488 38.284 1.000 1.000 9.710 194.000 4.000 841.000 109
143.168 38.348 1.000 1.000 12.340 194.000 6.000 841.000 110
142.849 38.411 1.000 1.000 16.350 194.000 10.000 841.000 111
142.533 38.473 1.000 1.000 22.070 194.000 13.000 841.000 112
142.221 38.533 1.000 1.000 29.690 194.000 17.000 841.000 113
141.916 38.590 1.000 1.000 39.250 194.000 21.000 841.000 114
141.619 38.646 1.000 1.000 50.710 194.000 25.000 841.000 115
141.330 38.699 1.000 1.000 63.940 194.000 29.000 841.000 116
143.725 37.965 1.000 1.000 8.070 194.000 3.000 841.000 117
143.405 38.030 1.000 1.000 9.710 194.000 4.000 841.000 118
143.086 38.095 1.000 1.000 12.340 194.000 6.000 841.000 119
