# lon lat E[km] N[km] Dep[km] strike dip Area ID
85.060 27.720 1.000 1.000 6.860 293.000 6.000 100.000 81
85.100 27.810 1.000 1.000 7.910 293.000 6.000 100.000 82
85.140 27.890 1.000 1.000 8.950 293.000 6.000 100.000 83
85.180 27.970 1.000 1.000 10.000 293.000 6.000 100.000 84
85.220 28.050 1.000 1.000 11.050 293.000 6.000 100.000 85
85.260 28.130 1.000 1.000 12.090 293.000 6.000 100.000 86
85.300 28.220 1.000 1.000 13.140 293.000 6.000 100.000 87
85.340 28.300 1.000 1.000 14.180 293.000 6.000 100.000 88
85.380 28.380 1.000 1.000 15.230 293.000 6.000 100.000 89
84.960 27.760 1.000 1.000 6.860 293.000 6.000 100.000 90
85.000 27.840 1.000 1.000 7.910 293.000 6.000 100.000 91
85.040 27.920 1.000 1.000 8.950 293.000 6.000 100.000 92
85.080 28.010 1.000 1.000 10.000 293.000 6.000 100.000 93
85.120 28.090 1.000 1.000 11.050 293.000 6.000 100.000 94
85.160 28.170 1.000 1.000 12.090 293.000 6.000 100.000 95
85.200 28.250 1.000 1.000 13.140 293.000 6.000 100.000 96
85.240 28.330 1.000 1.000 14.180 293.000 6.000 100.000 97
85.280 28.420 1.000 1.000 15.230 293.000 6.000 100.000 98
84.870 27.790 1.000 1.000 6.860 293.000 6.000 100.000 99
84.910 27.880 1.000 1.000 7.910 293.000 6.000 100.000 100
84.950 27.960 1.000 1.000 8.950 293.000 6.000 100.000 101
84.990 28.040 1.000 1.000 10.000 293.000 6.000 100.000 102
85.030 28.120 1.000 1.000 11.050 293.000 6.000 100.000 103
85.070 28.210 1.000 1.000 12.090 293.000 6.000 100.000 104
85.110 28.290 1.000 1.000 13.140 293.000 6.000 100.000 105
85.150 28.370 1.000 1.000 14.180 293.000 6.000 100.000 106
85.190 28.450 1.000 1.000 15.230 293.000 6.000 100.000 107
84.780 27.830 1.000 1.000 6.860 293.000 6.000 100.000 108
84.820 27.910 1.000 1.000 7.910 293.000 6.000 100.000 109
84.860 27.990 1.000 1.000 8.950 293.000 6.000 100.000 110
84.900 28.080 1.000 1.000 10.000 293.000 6.000 100.000 111
84.940 28.160 1.000 1.000 11.050 293.000 6.000 100.000 112
84.980 28.240 1.000 1.000 12.090 293.000 6.000 100.000 113
85.020 28.320 1.000 1.000 13.140 293.000 6.000 100.000 114
85.060 28.410 1.000 1.000 14.180 293.000 6.000 100.000 115
85.100 28.490 1.000 1.000 15.230 293.000 6.000 100.000 116
84.680 27.860 1.000 1.000 6.860 293.000 6.000 100.000 117
84.720 27.950 1.000 1.000 7.910 293.000 6.000 100.000 118
84.760 28.030 1.000 1.000 8.950 293.000 6.000 100.000 119
84.800 28.110 1.000 1.000 10.000 293.000 6.000 100.000 120
84.840 28.190 1.000 1.000 11.050 293.000 6.000 100.000 121
84.880 28.280 1.000 1.000 12.090 293.000 6.000 100.000 122
84.920 28.360 1.000 1.000 13.140 293.000 6.000 100.000 123
84.960 28.440 1.000 1.000 14.180 293.000 6.000 100.000 124
85.000 28.520 1.000 1.000 15.230 293.000 6.000 100.000 125
