,U_perp,U_parallel,Slip,Tr,Vr,Hypo_as,Hypo_dd,std_U_perp,std_U_parallel,std_U,std_Tr,std_Vr,std_Hypo_as,std_Hypo_dd,lat,lon,depth,strike,dip
78,0.9557522535324097,-0.04253454506397247,0.9566982388496399,16.659160614013672,2.5748355388641357,,,0.46352723240852356,0.38592684268951416,0.41831064224243164,1.6124358177185059,0.25704658031463623,,,-19.774,-71.168,12.15,-13.58,12.15
79,-0.3754752278327942,0.9762389659881592,1.0459561347961426,26.89270782470703,2.1879591941833496,,,0.5658521056175232,0.4850233793258667,0.3968378007411957,1.3036119937896729,0.19334246218204498,,,-19.739,-71.015,16.1,-13.58,14.78
80,0.39039286971092224,3.215430974960327,3.2390434741973877,12.640612602233887,1.5183398723602295,,,0.33880478143692017,0.403638631105423,0.3911539316177368,0.9569422006607056,0.1763959527015686,,,-19.705,-70.863,20.76,-13.58,16.99
81,2.724397659301758,3.6704816818237305,4.571080684661865,6.001214981079102,1.6958659887313843,,,0.2235589474439621,0.3647817075252533,0.31428512930870056,0.3332049548625946,0.03591705113649368,,,-19.67,-70.713,25.98,-13.58,18.82
82,-1.876460075378418,2.89619779586792,3.450951099395752,22.498891830444336,2.7113723754882812,,,0.4415901005268097,0.4977220594882965,0.49928611516952515,1.3918428421020508,0.1277242749929428,,,-19.636,-70.565,31.68,-13.58,20.34
83,-0.40642479062080383,1.7317613363265991,1.7788137197494507,23.123825073242188,1.5088156461715698,,,0.38718825578689575,0.4251077473163605,0.41529813408851624,1.3164712190628052,0.22563070058822632,,,-19.602,-70.418,37.76,-13.58,21.59
84,0.33943885564804077,-0.03085249476134777,0.34083810448646545,14.239798545837402,1.5143786668777466,,,0.34239837527275085,0.3606363534927368,0.2590494751930237,2.320826768875122,0.3582569360733032,,,-19.569,-70.272,44.16,-13.58,22.62
85,-0.019223986193537712,0.1000894084572792,0.10191884636878967,8.885054588317871,1.6991511583328247,,,0.28517305850982666,0.30310091376304626,0.1828998178243637,2.028273820877075,0.41836267709732056,,,-19.535,-70.127,50.82,-13.58,23.47
86,-0.9163894653320312,0.8770594596862793,1.2684648036956787,12.870966911315918,1.481911301612854,,,0.31121546030044556,0.36258459091186523,0.372403621673584,1.580378770828247,0.29006946086883545,,,-19.501,-69.983,57.68,-13.58,24.16
87,0.6856553554534912,-0.384982705116272,0.7863427400588989,23.164499282836914,1.1683133840560913,,,0.24644571542739868,0.2743472158908844,0.21891553699970245,1.5533108711242676,0.31857186555862427,,,-19.468,-69.84,64.72,-13.58,24.74
88,0.5262232422828674,0.11708898842334747,0.5390925407409668,17.093830108642578,1.6240484714508057,,,0.39995598793029785,0.37079882621765137,0.30711981654167175,1.793575406074524,0.47652727365493774,,,-19.66,-71.361,9.03,-13.58,9.01
89,1.052274227142334,1.3561912775039673,1.7165476083755493,11.886377334594727,1.536283016204834,,,0.45239901542663574,0.3805936574935913,0.4381488859653473,1.373145580291748,0.30270394682884216,,,-19.625,-71.206,12.15,-13.58,12.15
90,1.6276497840881348,0.08143647015094757,1.6296857595443726,9.112269401550293,1.1406621932983398,,,0.2627093195915222,0.2741398513317108,0.25887331366539,1.167391300201416,0.10744477063417435,,,-19.59,-71.053,16.1,-13.58,14.78
91,0.08772115409374237,1.087073802947998,1.0906074047088623,7.667351722717285,2.402550220489502,,,0.12320473045110703,0.1485060304403305,0.14450742304325104,0.5752848982810974,0.16183727979660034,,,-19.556,-70.901,20.76,-13.58,16.99
92,-3.354642391204834,3.0002081394195557,4.500541687011719,15.503467559814453,2.5989792346954346,,,0.3712017238140106,0.44975417852401733,0.46717116236686707,0.6925992965698242,0.1266425997018814,,,-19.521,-70.751,25.98,-13.58,18.82
