# lon lat E[km] N[km] Dep[km] strike dip Area ID
-70.088 -19.684 1.000 1.000 50.820 -13.580 23.470 289.000 74
-69.944 -19.650 1.000 1.000 57.680 -13.580 24.160 289.000 75
-69.801 -19.617 1.000 1.000 64.720 -13.580 24.740 289.000 76
-71.323 -19.809 1.000 1.000 9.030 -13.580 9.010 289.000 77
-71.168 -19.774 1.000 1.000 12.150 -13.580 12.150 289.000 78
-71.015 -19.739 1.000 1.000 16.100 -13.580 14.780 289.000 79
-70.863 -19.705 1.000 1.000 20.760 -13.580 16.990 289.000 80
-70.713 -19.670 1.000 1.000 25.980 -13.580 18.820 289.000 81
-70.565 -19.636 1.000 1.000 31.680 -13.580 20.340 289.000 82
-70.418 -19.602 1.000 1.000 37.760 -13.580 21.590 289.000 83
-70.272 -19.569 1.000 1.000 44.160 -13.580 22.620 289.000 84
-70.127 -19.535 1.000 1.000 50.820 -13.580 23.470 289.000 85
-69.983 -19.501 1.000 1.000 57.680 -13.580 24.160 289.000 86
-69.840 -19.468 1.000 1.000 64.720 -13.580 24.740 289.000 87
-71.361 -19.660 1.000 1.000 9.030 -13.580 9.010 289.000 88
-71.206 -19.625 1.000 1.000 12.150 -13.580 12.150 289.000 89
-71.053 -19.590 1.000 1.000 16.100 -13.580 14.780 289.000 90
-70.901 -19.556 1.000 1.000 20.760 -13.580 16.990 289.000 91
-70.751 -19.521 1.000 1.000 25.980 -13.580 18.820 289.000 92
-70.603 -19.487 1.000 1.000 31.680 -13.580 20.340 289.000 93
-70.456 -19.453 1.000 1.000 37.760 -13.580 21.590 289.000 94
-70.310 -19.419 1.000 1.000 44.160 -13.580 22.620 289.000 95
-70.166 -19.386 1.000 1.000 50.820 -13.580 23.470 289.000 96
-70.022 -19.352 1.000 1.000 57.680 -13.580 24.160 289.000 97
-69.879 -19.319 1.000 1.000 64.720 -13.580 24.740 289.000 98
-71.398 -19.511 1.000 1.000 9.030 -13.580 9.010 289.000 99
-71.244 -19.476 1.000 1.000 12.150 -13.580 12.150 289.000 100
-71.090 -19.441 1.000 1.000 16.100 -13.580 14.780 289.000 101
-70.939 -19.406 1.000 1.000 20.760 -13.580 16.990 289.000 102
-70.789 -19.372 1.000 1.000 25.980 -13.580 18.820 289.000 103
-70.641 -19.338 1.000 1.000 31.680 -13.580 20.340 289.000 104
-70.494 -19.304 1.000 1.000 37.760 -13.580 21.590 289.000 105
-70.349 -19.270 1.000 1.000 44.160 -13.580 22.620 289.000 106
-70.204 -19.237 1.000 1.000 50.820 -13.580 23.470 289.000 107
-70.061 -19.203 1.000 1.000 57.680 -13.580 24.160 289.000 108
-69.918 -19.170 1.000 1.000 64.720 -13.580 24.740 289.000 109
-71.436 -19.361 1.000 1.000 9.030 -13.580 9.010 289.000 110
-71.281 -19.326 1.000 1.000 12.150 -13.580 12.150 289.000 111
-71.128 -19.291 1.000 1.000 16.100 -13.580 14.780 289.000 112
-70.977 -19.257 1.000 1.000 20.760 -13.580 16.990 289.000 113
-70.827 -19.223 1.000 1.000 25.980 -13.580 18.820 289.000 114
-70.679 -19.189 1.000 1.000 31.680 -13.580 20.340 289.000 115
-70.533 -19.155 1.000 1.000 37.760 -13.580 21.590 289.000 116
-70.387 -19.121 1.000 1.000 44.160 -13.580 22.620 289.000 117
-70.243 -19.088 1.000 1.000 50.820 -13.580 23.470 289.000 118
-70.099 -19.054 1.000 1.000 57.680 -13.580 24.160 289.000 119
-69.957 -19.021 1.000 1.000 64.720 -13.580 24.740 289.000 120
-71.473 -19.212 1.000 1.000 9.030 -13.580 9.010 289.000 121
-71.319 -19.177 1.000 1.000 12.150 -13.580 12.150 289.000 122
-71.166 -19.142 1.000 1.000 16.100 -13.580 14.780 289.000 123
-71.015 -19.108 1.000 1.000 20.760 -13.580 16.990 289.000 124
-70.865 -19.073 1.000 1.000 25.980 -13.580 18.820 289.000 125
-70.717 -19.039 1.000 1.000 31.680 -13.580 20.340 289.000 126
-70.571 -19.006 1.000 1.000 37.760 -13.580 21.590 289.000 127
-70.426 -18.972 1.000 1.000 44.160 -13.580 22.620 289.000 128
-70.281 -18.938 1.000 1.000 50.820 -13.580 23.470 289.000 129
-70.138 -18.905 1.000 1.000 57.680 -13.580 24.160 289.000 130
-69.995 -18.871 1.000 1.000 64.720 -13.580 24.740 289.000 131
