,lat,lon,depth,strike,dip
126,27.9,84.59,6.86,293.0,6.0
127,27.98,84.63,7.91,293.0,6.0
128,28.06,84.67,8.95,293.0,6.0
129,28.15,84.71,10.0,293.0,6.0
130,28.23,84.75,11.05,293.0,6.0
131,28.31,84.79,12.09,293.0,6.0
132,28.39,84.83,13.14,293.0,6.0
133,28.48,84.87,14.18,293.0,6.0
134,28.56,84.91,15.23,293.0,6.0
135,27.93,84.5,6.86,293.0,6.0
136,28.02,84.54,7.91,293.0,6.0
137,28.1,84.57,8.95,293.0,6.0
138,28.18,84.61,10.0,293.0,6.0
139,28.26,84.65,11.05,293.0,6.0
140,28.35,84.69,12.09,293.0,6.0
141,28.43,84.73,13.14,293.0,6.0
142,28.51,84.77,14.18,293.0,6.0
143,28.59,84.81,15.23,293.0,6.0
144,27.97,84.4,6.86,293.0,6.0
145,28.05,84.44,7.91,293.0,6.0
146,28.13,84.48,8.95,293.0,6.0
147,28.22,84.52,10.0,293.0,6.0
148,28.3,84.56,11.05,293.0,6.0
149,28.38,84.6,12.09,293.0,6.0
150,28.46,84.64,13.14,293.0,6.0
151,28.55,84.68,14.18,293.0,6.0
152,28.63,84.72,15.23,293.0,6.0
153,28.0,84.31,6.86,293.0,6.0
154,28.09,84.35,7.91,293.0,6.0
155,28.17,84.39,8.95,293.0,6.0
156,28.25,84.43,10.0,293.0,6.0
157,28.33,84.47,11.05,293.0,6.0
158,28.42,84.51,12.09,293.0,6.0
159,28.5,84.54,13.14,293.0,6.0
160,28.58,84.58,14.18,293.0,6.0
161,28.66,84.62,15.23,293.0,6.0
