,U_perp,U_parallel,Slip,Tr,Vr,Hypo_as,Hypo_dd,std_U_perp,std_U_parallel,std_U,std_Tr,std_Vr,std_Hypo_as,std_Hypo_dd,lat,lon,depth,strike,dip
0,-0.7747741274611755,0.00542131602813295,0.7747930884361267,5.520136833190918,3.339862108230591,106.47118377685547,35.9975471496582,0.1874849555019037,0.01725034622465796,0.13175952434539795,0.7456589341163635,0.27968645095825195,0.42384007573127747,0.28571611642837524,-0.3692,-80.8559,11.481,27.055,10.075
1,-0.4315210906941176,-0.4892018529613788,0.6523257493972778,4.415401458740234,2.8795270919799805,,,0.19139318825279455,0.0661249542132283,0.11762624233961105,0.6194759011268616,0.4013710916042328,,,-0.4298,-80.7381,14.3814,27.054,12.216
2,-1.0935987815368966,1.3213820364919808,1.71522855758667,3.487919330596924,2.2916882038116455,,,0.21149300600823295,0.056821711119120474,0.17077672481536865,0.797766387462616,0.3466914892196655,,,-0.4898,-80.6215,17.8948,27.053,14.871
3,0.8689370916171527,0.6243663118166589,1.069993019104004,9.766031265258789,1.2882236242294312,,,0.15804662167000785,0.0639987715202518,0.09137288480997086,0.7898017764091492,0.13154613971710205,,,-0.549,-80.5063,22.1093,27.052,17.762
4,-0.5583855921500381,-0.761432443524412,0.9442318677902222,3.6799283027648926,3.1160476207733154,,,0.13976387004117172,0.02232100703670801,0.10367760062217712,0.62354975938797,0.27317431569099426,,,-0.6073,-80.393,27.0451,27.051,20.66
5,-0.6280856453954882,1.0138937555282985,1.1926743984222412,2.268535852432251,1.76285719871521,,,0.18137922544165064,0.02755005830306609,0.12411989271640778,0.5392569303512573,0.15517637133598328,,,-0.6645,-80.2817,32.6637,27.05,23.335
6,0.18169815541547213,-1.0068527741438085,1.0231162309646606,5.802299976348877,3.5581066608428955,,,0.168753983093712,0.046534820258182556,0.08155197650194168,0.5416892170906067,0.19722652435302734,,,-0.7207,-80.1724,38.8599,27.049,25.458
7,-0.9113847789332555,1.444609549013027,1.7080745697021484,7.049717903137207,2.788717746734619,,,0.16508430923945283,0.03362900600814901,0.11744793504476547,0.7281729578971863,0.3651582598686218,,,-0.776,-80.0647,45.5,27.048,27.085
8,0.6155192885821478,-0.094937352403407,0.6227977871894836,7.981241226196289,2.4612231254577637,,,0.21188162566564855,0.017144597021986452,0.12204303592443466,0.8494977951049805,0.3914686441421509,,,-0.2484,-80.7946,11.481,27.058,10.075
9,-0.8534834587270279,-0.11954918424059136,0.8618155121803284,6.139678955078125,3.033931016921997,,,0.24279213482810647,0.030058713421446337,0.14761102199554443,0.5673549771308899,0.23192009329795837,,,-0.309,-80.6768,14.3814,27.056,12.217
10,0.41006639811819046,-0.8809289796769336,0.9716945886611938,5.827898979187012,3.6479318141937256,,,0.17462984577414856,0.07812858195157431,0.05458550155162811,0.6829468011856079,0.17787761986255646,,,-0.369,-80.5601,17.8948,27.055,14.871
11,1.9309364790442467,1.0742139099186472,2.2096269130706787,3.289304733276367,3.115347385406494,,,0.1872438425129907,0.043246566373949344,0.1301104575395584,0.326787531375885,0.20400883257389069,,,-0.4282,-80.445,22.1093,27.054,17.763
12,-1.272875700362403,1.8716374917453094,2.2634575366973877,1.2576498985290527,3.3566055297851562,,,0.18293726315927966,0.02357457410085098,0.12190091609954834,0.25938692688941956,0.18540462851524353,,,-0.4864,-80.3316,27.0451,27.053,20.66
13,-0.7877510558291394,-0.2341920213375156,0.8218258023262024,1.5171476602554321,3.601579189300537,,,0.2127860703607447,0.016801781644234612,0.15804922580718994,0.3699893355369568,0.15035788714885712,,,-0.5437,-80.2204,32.6637,27.052,23.335
14,-0.1514868761285253,0.6019702254852718,0.6207386255264282,8.388747215270996,3.5355722904205322,,,0.24410170029240566,0.07450308267664259,0.2183568924665451,1.2494508028030396,0.2376367449760437,,,-0.5999,-80.1111,38.8599,27.051,25.458
15,0.533843884467217,-0.6271905313512584,0.8236244320869446,5.719409942626953,2.8018012046813965,,,0.24683176733725043,0.005996306837462884,0.13797472417354584,0.9023410677909851,0.3722197413444519,,,-0.6552,-80.0034,45.5,27.05,27.085
16,0.7993411750282703,0.7939228137418464,1.1266143321990967,2.504087209701538,2.8008618354797363,,,0.20331647162267036,0.0025675012965923616,0.16764745116233826,0.6447387337684631,0.2822990417480469,,,-0.1275,-80.7332,11.481,27.06,10.075
17,0.23614446250149834,-0.9951172170135879,1.0227524042129517,4.654577732086182,3.859156847000122,,,0.16755994562851811,0.06065553418891298,0.08051329851150513,0.7332083582878113,0.10649915784597397,,,-0.1881,-80.6155,14.3814,27.059,12.217
18,0.07923023470343446,-0.373426406638212,0.38173907995224,5.232743740081787,2.559865951538086,,,0.2681697106483226,0.053191847196935094,0.18500080704689026,0.7792409062385559,0.29104870557785034,,,-0.2481,-80.4988,17.8948,27.058,14.872
19,-2.3639830271451205,3.7101363581105833,4.399264335632324,4.950008869171143,3.621044397354126,,,0.14727890953088085,0.015861226590639807,0.0972122922539711,0.31866660714149475,0.14004077017307281,,,-0.3073,-80.3836,22.1093,27.056,17.763
20,-1.2143220003622752,-2.002081223868347,2.3415608406066895,9.76091480255127,1.527004361152649,,,0.11649507132907744,0.04362132761977791,0.11220524460077286,0.48167121410369873,0.17462891340255737,,,-0.3656,-80.2703,27.0451,27.055,20.66
21,-0.7815579082858111,1.7252201682656036,1.8939950466156006,1.4269452095031738,3.869025945663452,,,0.15554751218462315,0.02953186791973908,0.10911896079778671,0.3531349301338196,0.08296626061201096,,,-0.4228,-80.1591,32.6637,27.054,23.336
